date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
16:38:20	98389/98389	------	200	untouched ('OK')	text/html	date:Wed,%2012%20May%202021%2005:07:53%20GMT	https://web.archive.org/web/20210303003404/http://artofwa.com.au/	C:/My%20Web%20Sites/ArtOfWA/web.archive.org/index.html	(from )
16:38:36	238/238	---M--	301	error ('Moved%20Permanently')	text/html	date:Wed,%2012%20May%202021%2003:30:24%20GMT	http://www.w3.org/1999/xhtml	C:/My%20Web%20Sites/ArtOfWA/www.w3.org/images/xhtml.0.delayed	(from https://web.archive.org/web/20210303003404/http://artofwa.com.au/)
16:38:36	5842/5842	---M-Z	200	added ('OK')	text/html	date:Wed,%2012%20May%202021%2006:38:38%20GMT	http://gmpg.org/xfn/11	C:/My%20Web%20Sites/ArtOfWA/gmpg.org/11.html	(from https://web.archive.org/web/20210303003404/http://artofwa.com.au/)
16:38:36	14615/14615	------	200	untouched ('OK')	application/x-javascript	etag:W/%225fea3802-3917%22	http://archive.org/includes/analytics.js?v=cf34f82	C:/My%20Web%20Sites/ArtOfWA/archive.org/images/analytics2a5b.js	(from https://web.archive.org/web/20210303003404/http://artofwa.com.au/)
16:38:41	27869/27869	---MCZ	200	added ('OK')	application/javascript	etag:W/%22wzsdm-1620501980-27869-1133250299%22	https://web.archive.org/_static/js/playback.bundle.js?v=bQvHU8mx	C:/My%20Web%20Sites/ArtOfWA/web.archive.org/images/playback.bundle2a46.js	(from https://web.archive.org/web/20210303003404/http://artofwa.com.au/)
16:38:41	116497/116497	---MCZ	200	added ('OK')	application/javascript	etag:W/%22wzsdm-1620501988-116497-310182806%22	https://web.archive.org/_static/js/wombat.js?v=cRqOKCOw	C:/My%20Web%20Sites/ArtOfWA/web.archive.org/images/wombat1b09.js	(from https://web.archive.org/web/20210303003404/http://artofwa.com.au/)
16:38:42	209/209	---M--	302	error ('FOUND')	text/html	date:Wed,%2012%20May%202021%2006:38:44%20GMT	https://web.archive.org/web	C:/My%20Web%20Sites/ArtOfWA/web.archive.org/images/web	(from https://web.archive.org/web/20210303003404/http://artofwa.com.au/)
16:38:42	9538/9538	------	200	untouched ('OK')	text/css	etag:W/%22wzsdm-1620502000-9538-1017513663%22	https://web.archive.org/_static/css/banner-styles.css?v=wiOP2tld	C:/My%20Web%20Sites/ArtOfWA/web.archive.org/images/banner-stylesdc04.css	(from https://web.archive.org/web/20210303003404/http://artofwa.com.au/)
16:38:42	5825/5825	------	200	untouched ('OK')	text/css	etag:W/%22wzsdm-1620502025-5825-715654559%22	https://web.archive.org/_static/css/iconochive.css?v=qtvMKcIJ	C:/My%20Web%20Sites/ArtOfWA/web.archive.org/images/iconochive8307.css	(from https://web.archive.org/web/20210303003404/http://artofwa.com.au/)
16:38:42	315/315	---M--	404	error ('Not%20Found')	text/html	date:Wed,%2012%20May%202021%2006:38:44%20GMT	http://artofwa.com.au/	C:/My%20Web%20Sites/ArtOfWA/artofwa.com.au/index.html	(from https://web.archive.org/web/20210303003404/http://artofwa.com.au/)
