date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
15:07:51	153/153	---M--	404	error ('Not%20Found')	text/html	date:Wed,%2012%20May%202021%2005:07:53%20GMT	https://web.archive.org/robots.txt		(from )
15:07:51	98389/98389	---MCZ	200	added ('OK')	text/html	date:Wed,%2012%20May%202021%2005:07:53%20GMT	https://web.archive.org/web/20210303003404/http://artofwa.com.au/	C:/My%20Web%20Sites/ArtOfWA/web.archive.org/web/20210303003404/http_/artofwa.com.au/index.html	(from )
15:07:52	14615/14615	---MCZ	200	added ('OK')	application/x-javascript	etag:W/%225fea3802-3917%22	http://archive.org/includes/analytics.js?v=cf34f82	C:/My%20Web%20Sites/ArtOfWA/archive.org/includes/analytics2a5b.js	(from https://web.archive.org/web/20210303003404/http://artofwa.com.au/)
15:07:52	27869/27869	---MCZ	200	added ('OK')	application/javascript	etag:W/%22wzsdm-1620501980-27869-1133250299%22	https://web.archive.org/_static/js/playback.bundle.js?v=bQvHU8mx	C:/My%20Web%20Sites/ArtOfWA/web.archive.org/_static/js/playback.bundle2a46.js	(from https://web.archive.org/web/20210303003404/http://artofwa.com.au/)
15:07:53	116497/116497	---MCZ	200	added ('OK')	application/javascript	etag:W/%22wzsdm-1620501988-116497-310182806%22	https://web.archive.org/_static/js/wombat.js?v=cRqOKCOw	C:/My%20Web%20Sites/ArtOfWA/web.archive.org/_static/js/wombat1b09.js	(from https://web.archive.org/web/20210303003404/http://artofwa.com.au/)
15:07:53	9538/9538	---MCZ	200	added ('OK')	text/css	etag:W/%22wzsdm-1620502000-9538-1017513663%22	https://web.archive.org/_static/css/banner-styles.css?v=wiOP2tld	C:/My%20Web%20Sites/ArtOfWA/web.archive.org/_static/css/banner-stylesdc04.css	(from https://web.archive.org/web/20210303003404/http://artofwa.com.au/)
15:07:54	5825/5825	---MCZ	200	added ('OK')	text/css	etag:W/%22wzsdm-1620502025-5825-715654559%22	https://web.archive.org/_static/css/iconochive.css?v=qtvMKcIJ	C:/My%20Web%20Sites/ArtOfWA/web.archive.org/_static/css/iconochive8307.css	(from https://web.archive.org/web/20210303003404/http://artofwa.com.au/)
15:07:54	0/0	---M--	302	error ('FOUND')	text/plain	date:Wed,%2012%20May%202021%2005:07:56%20GMT	https://web.archive.org/web/20210303003404cs_/http://www.artofwa.com.au/wp-content/themes/whitespace/style.css	C:/My%20Web%20Sites/ArtOfWA/web.archive.org/web/20210303003404cs_/http_/www.artofwa.com.au/wp-content/themes/whitespace/style.css	(from https://web.archive.org/web/20210303003404/http://artofwa.com.au/)
15:07:55	12108/12108	---MCZ	200	added ('OK')	text/css	date:Wed,%2012%20May%202021%2005:07:56%20GMT	https://web.archive.org/web/20210227022849cs_/http://www.artofwa.com.au/wp-content/themes/whitespace/style.css	C:/My%20Web%20Sites/ArtOfWA/web.archive.org/web/20210227022849cs_/http_/www.artofwa.com.au/wp-content/themes/whitespace/style.css	(from https://web.archive.org/web/20210303003404/http://artofwa.com.au/)
15:07:55	6476/6476	---M--	200	added ('OK')	image/png	etag:%22wzsdm-1620501976-6476-2593458707%22	https://web.archive.org/_static/images/toolbar/wayback-toolbar-logo-200.png	C:/My%20Web%20Sites/ArtOfWA/web.archive.org/_static/images/toolbar/wayback-toolbar-logo-200.png	(from https://web.archive.org/web/20210303003404/http://artofwa.com.au/)
15:07:55	292/292	---M--	200	added ('OK')	image/png	etag:%22wzsdm-1620501980-292-945555072%22	https://web.archive.org/_static/images/toolbar/wm_tb_prv_on.png	C:/My%20Web%20Sites/ArtOfWA/web.archive.org/_static/images/toolbar/wm_tb_prv_on.png	(from https://web.archive.org/web/20210303003404/http://artofwa.com.au/)
15:07:56	294/294	---M--	200	added ('OK')	image/png	etag:%22wzsdm-1620501983-294-946734722%22	https://web.archive.org/_static/images/toolbar/wm_tb_nxt_on.png	C:/My%20Web%20Sites/ArtOfWA/web.archive.org/_static/images/toolbar/wm_tb_nxt_on.png	(from https://web.archive.org/web/20210303003404/http://artofwa.com.au/)
15:07:56	913/913	---M--	200	added ('OK')	image/gif	etag:%22wzsdm-1620502014-913-438895683%22	https://web.archive.org/_static/images/loading.gif	C:/My%20Web%20Sites/ArtOfWA/web.archive.org/_static/images/loading.gif	(from https://web.archive.org/web/20210303003404/http://artofwa.com.au/)
15:07:56	0/0	---M--	302	error ('FOUND')	text/plain	date:Wed,%2012%20May%202021%2005:07:58%20GMT	https://web.archive.org/web/20210303003404js_/http://www.artofwa.com.au/wp-content/plugins/google-analytics-for-wordpress/custom_se.js	C:/My%20Web%20Sites/ArtOfWA/web.archive.org/web/20210303003404js_/http_/www.artofwa.com.au/wp-content/plugins/google-analytics-for-wordpress/custom_se.js	(from https://web.archive.org/web/20210303003404/http://artofwa.com.au/)
15:07:57	6887/6887	---M--	200	added ('OK')	application/x-javascript	date:Wed,%2012%20May%202021%2005:07:59%20GMT	https://web.archive.org/web/20210227022853js_/http://www.artofwa.com.au/wp-content/plugins/google-analytics-for-wordpress/custom_se.js	C:/My%20Web%20Sites/ArtOfWA/web.archive.org/web/20210227022853js_/http_/www.artofwa.com.au/wp-content/plugins/google-analytics-for-wordpress/custom_se.js	(from https://web.archive.org/web/20210303003404/http://artofwa.com.au/)
15:07:58	35/35	---M--	200	added ('OK')	image/gif	etag:%22606e06b3-23%22	http://analytics.archive.org/0.gif	C:/My%20Web%20Sites/ArtOfWA/analytics.archive.org/0.gif	(from http://archive.org/includes/analytics.js?v=cf34f82)
15:07:58	7260/7260	---MCZ	200	added ('OK')	text/css	etag:W/%22wzsdm-1620501980-7260-369492983%22	https://web.archive.org/_static/css/record.css	C:/My%20Web%20Sites/ArtOfWA/web.archive.org/_static/css/record.css	(from https://web.archive.org/_static/css/banner-styles.css?v=wiOP2tld)
15:07:58	0/0	---M--	302	error ('FOUND')	text/plain	date:Wed,%2012%20May%202021%2005:08:00%20GMT	https://web.archive.org/web/20210227022849im_/http://www.artofwa.com.au/wp-content/themes/whitespace/images/header_2.jpg	C:/My%20Web%20Sites/ArtOfWA/web.archive.org/web/20210227022849im_/http_/www.artofwa.com.au/wp-content/themes/whitespace/images/header_2.jpg	(from https://web.archive.org/web/20210227022849cs_/http://www.artofwa.com.au/wp-content/themes/whitespace/style.css)
15:07:59	29324/29324	---MC-	200	added ('OK')	image/jpeg	date:Wed,%2012%20May%202021%2005:08:00%20GMT	https://web.archive.org/web/20200328033343im_/http://www.artofwa.com.au/wp-content/themes/whitespace/images/header_2.jpg	C:/My%20Web%20Sites/ArtOfWA/web.archive.org/web/20200328033343im_/http_/www.artofwa.com.au/wp-content/themes/whitespace/images/header_2.jpg	(from https://web.archive.org/web/20210227022849cs_/http://www.artofwa.com.au/wp-content/themes/whitespace/style.css)
15:08:02	94348/94348	---MCZ	404	error ('NOT%20FOUND')	text/html	date:Wed,%2012%20May%202021%2005:08:03%20GMT	https://web.archive.org/web/20210303003404/http://artofwa.com.au/images.google.pl	C:/My%20Web%20Sites/ArtOfWA/web.archive.org/web/20210303003404/http_/artofwa.com.au/images.google.pl	(from https://web.archive.org/web/20210227022853js_/http://www.artofwa.com.au/wp-content/plugins/google-analytics-for-wordpress/custom_se.js)
15:08:08	94353/94353	---MCZ	404	error ('NOT%20FOUND')	text/html	date:Wed,%2012%20May%202021%2005:08:08%20GMT	https://web.archive.org/web/20210303003404/http://artofwa.com.au/images.google.com.au	C:/My%20Web%20Sites/ArtOfWA/web.archive.org/web/20210303003404/http_/artofwa.com.au/images.google.com.au	(from https://web.archive.org/web/20210227022853js_/http://www.artofwa.com.au/wp-content/plugins/google-analytics-for-wordpress/custom_se.js)
15:08:08	0/0	---M--	302	error ('FOUND')	text/plain	date:Wed,%2012%20May%202021%2005:08:11%20GMT	https://web.archive.org/web/20210303003404/http://artofwa.com.au/google.pl	C:/My%20Web%20Sites/ArtOfWA/web.archive.org/web/20210303003404/http_/artofwa.com.au/google.pl	(from https://web.archive.org/web/20210227022853js_/http://www.artofwa.com.au/wp-content/plugins/google-analytics-for-wordpress/custom_se.js)
